GPSID,Time,Latitude,Longitude,Altitude,Heading,Satellites,HDOP,AgeOfReading,DistanceSinceReading,Velocity
33119,2013/11/27 12:38:28 PM,-33.97942,18.84142,156,0,8,1.3,1,0,0
33117,2013/11/27 12:41:07 PM,-33.9795,18.84142,156,0,7,1.7,1,0,0
33415,2013/11/27 02:48:24 PM,-33.97931,18.84147,143,0,10,1,1,0,0
33503,2013/11/27 02:51:49 PM,-33.97936,18.84144,156,210,9,2.3,0,1,5
33504,2013/11/27 02:52:07 PM,-33.97936,18.84147,143,308,9,1.6,0,0,2
33505,2013/11/27 02:52:08 PM,-33.97933,18.84147,143,348,9,1.6,0,0,5
33506,2013/11/27 02:52:12 PM,-33.97928,18.84144,142,308,9,1.2,1,1,8
33507,2013/11/27 02:52:16 PM,-33.97919,18.84133,141,350,9,1.2,0,0,10
33508,2013/11/27 02:52:17 PM,-33.97917,18.84136,140,18,9,1.3,0,0,13
33509,2013/11/27 02:52:23 PM,-33.97903,18.84142,140,340,9,1.6,1,3,12
33510,2013/11/27 02:52:24 PM,-33.97897,18.84136,140,298,9,1.6,0,0,15
33511,2013/11/27 02:52:42 PM,-33.97869,18.84086,133,326,9,1.2,1,4,16
33512,2013/11/27 02:52:44 PM,-33.97861,18.84083,132,348,9,1.2,1,6,21
33513,2013/11/27 02:52:45 PM,-33.9785,18.84086,131,18,9,1.2,0,0,30
33514,2013/11/27 02:53:05 PM,-33.97711,18.84147,125,46,10,1,1,7,14
33515,2013/11/27 02:53:51 PM,-33.97625,18.84281,118,20,9,1.2,0,0,19
33516,2013/11/27 02:53:55 PM,-33.97614,18.84289,117,50,9,1.2,1,7,15
33517,2013/11/27 02:54:04 PM,-33.97575,18.84322,116,24,9,1.2,1,7,13
33518,2013/11/27 02:54:07 PM,-33.97569,18.84325,115,358,9,1.2,1,1,6
33519,2013/11/27 02:54:08 PM,-33.97564,18.84322,115,328,10,1,0,0,11
33520,2013/11/27 02:54:11 PM,-33.97558,18.84314,114,302,9,1.2,1,6,20
33521,2013/11/27 02:54:50 PM,-33.97494,18.84192,110,326,10,1,1,4,17
33522,2013/11/27 02:54:53 PM,-33.97483,18.84186,109,354,10,1,1,3,15
33523,2013/11/27 02:54:59 PM,-33.97469,18.84192,108,18,9,1.1,1,1,6
33524,2013/11/27 02:55:17 PM,-33.97461,18.84194,108,44,9,1.1,1,1,3
33525,2013/11/27 02:55:20 PM,-33.97456,18.842,108,20,10,1,1,5,19
33526,2013/11/27 02:56:03 PM,-33.96919,18.84403,104,358,10,1,1,0,15
33527,2013/11/27 02:56:05 PM,-33.96911,18.844,104,326,10,1,1,5,18
33528,2013/11/27 02:56:07 PM,-33.96906,18.84389,104,288,9,1.1,1,6,25
33529,2013/11/27 02:56:09 PM,-33.969,18.84375,104,326,9,1.1,0,4,15
33530,2013/11/27 02:56:10 PM,-33.96894,18.84375,104,12,10,1,0,3,15
33531,2013/11/27 02:56:12 PM,-33.96894,18.84378,104,50,10,1,1,3,14
33532,2013/11/27 02:56:13 PM,-33.96894,18.84383,104,92,10,1,1,7,16
33533,2013/11/27 02:56:17 PM,-33.96889,18.84417,105,50,9,1.1,0,7,28
33534,2013/11/27 02:56:19 PM,-33.96878,18.84425,106,24,9,1.1,0,0,28
33535,2013/11/27 02:56:45 PM,-33.96578,18.84614,122,46,9,1.1,1,20,76
33536,2013/11/27 02:58:40 PM,-33.95628,18.85506,117,24,10,1,1,21,80
33537,2013/11/27 02:59:38 PM,-33.954,18.85569,115,2,9,1.2,1,16,60
33538,2013/11/27 02:59:55 PM,-33.95108,18.85508,110,340,10,1,1,17,66
33499,2013/11/27 03:01:05 PM,-33.94561,18.85295,97,0,10,1,0,0,0
33539,2013/11/27 03:02:19 PM,-33.94042,18.85181,94,298,9,1.3,1,3,14
33540,2013/11/27 03:02:20 PM,-33.94042,18.85172,93,268,10,1,0,0,12
33541,2013/11/27 03:02:32 PM,-33.94047,18.85094,91,320,8,1.7,0,4,14
33542,2013/11/27 03:02:34 PM,-33.94044,18.85094,91,344,9,1.3,1,3,15
33543,2013/11/27 03:03:11 PM,-33.93908,18.85067,92,38,8,1.5,0,0,6
33544,2013/11/27 03:03:12 PM,-33.93908,18.85069,92,62,9,1.2,0,0,8
33545,2013/11/27 03:03:20 PM,-33.93908,18.85069,93,202,9,1.2,1,0,3
33546,2013/11/27 03:03:31 PM,-33.93908,18.85069,94,126,9,1.2,1,1,2
33547,2013/11/27 03:03:33 PM,-33.93917,18.85069,94,176,9,1.2,0,0,12
33548,2013/11/27 03:03:51 PM,-33.94042,18.85094,95,154,8,1.7,0,2,8
33549,2013/11/27 03:03:53 PM,-33.94044,18.851,95,118,8,1.7,0,2,10
33550,2013/11/27 03:03:55 PM,-33.94044,18.85103,95,96,8,1.7,1,0,14
33551,2013/11/27 03:05:29 PM,-33.93972,18.85569,106,74,10,1,1,3,14
33552,2013/11/27 03:05:45 PM,-33.93967,18.856,106,100,9,1.1,1,1,6
33553,2013/11/27 03:05:47 PM,-33.93972,18.85603,106,142,9,1.1,0,2,10
33554,2013/11/27 03:05:55 PM,-33.93986,18.85617,106,110,10,1,1,3,12
33555,2013/11/27 03:05:59 PM,-33.93986,18.85631,106,88,10,1.3,1,2,9
33556,2013/11/27 03:06:01 PM,-33.93983,18.85636,106,62,10,1,0,1,4
33557,2013/11/27 03:06:03 PM,-33.93983,18.85639,106,36,10,1,0,0,7
33558,2013/11/27 03:06:05 PM,-33.93981,18.85642,106,10,10,1,1,0,10
33559,2013/11/27 03:06:07 PM,-33.93975,18.85639,106,338,9,1.2,1,2,10
33500,2013/11/27 03:06:09 PM,-33.93969,18.85636,106,336,9,1.2,0,1,6
33560,2013/11/27 03:06:13 PM,-33.93961,18.85633,106,0,9,1.2,0,3,13
33561,2013/11/27 03:06:14 PM,-33.93958,18.85636,106,26,10,1.1,1,7,15
33562,2013/11/27 03:06:15 PM,-33.93958,18.85642,106,56,10,1.1,1,4,17
33563,2013/11/27 03:06:40 PM,-33.939,18.85875,114,78,9,1.2,0,0,29
33564,2013/11/27 03:07:00 PM,-33.93886,18.85944,115,42,10,1,1,5,11
33565,2013/11/27 03:07:02 PM,-33.93881,18.85947,115,10,10,1,1,3,14
33566,2013/11/27 03:07:24 PM,-33.93833,18.85956,112,346,10,1,1,5,9
33567,2013/11/27 03:08:09 PM,-33.93825,18.85958,111,36,9,1.3,0,0,3
33568,2013/11/27 03:08:13 PM,-33.93817,18.85961,111,14,10,1,0,3,16
33569,2013/11/27 03:08:20 PM,-33.93772,18.85964,111,350,10,1,0,5,20
33570,2013/11/27 03:08:50 PM,-33.93614,18.85903,109,326,8,1.7,1,4,15
33571,2013/11/27 03:08:52 PM,-33.936,18.859,108,8,8,1.7,0,5,23
33572,2013/11/27 03:09:53 PM,-33.9335,18.85919,107,346,9,1.2,1,8,32
33573,2013/11/27 03:10:01 PM,-33.93308,18.85903,106,324,9,1.2,1,3,4
33574,2013/11/27 03:10:08 PM,-33.93306,18.859,107,302,9,1.2,1,1,5
33575,2013/11/27 03:10:11 PM,-33.93306,18.85897,107,274,9,1.2,0,1,3
