GPSID,Time,Latitude,Longitude,Altitude,Heading,Satellites,HDOP,AgeOfReading,DistanceSinceReading,Velocity
33576,2013/11/27 03:10:16 PM,-33.93306,18.85894,106,242,9,1.2,0,0,2
33577,2013/11/27 03:10:42 PM,-33.93308,18.85889,106,266,8,1.7,1,1,11
33579,2013/11/27 03:11:13 PM,-33.93317,18.85833,105,0,9,1.1,1,0,0
33578,2013/11/27 03:12:18 PM,-33.93314,18.85836,105,0,9,1.2,1,0,0
33502,2013/11/27 03:12:25 PM,-33.93317,18.85833,105,0,9,1.1,1,0,0
33600,2013/11/27 03:12:51 PM,-33.93314,18.85833,104,284,8,1.8,0,1,7
33601,2013/11/27 03:12:53 PM,-33.93308,18.85828,104,332,8,1.8,0,0,13
33602,2013/11/27 03:13:03 PM,-33.93275,18.85819,104,358,9,1.2,1,1,7
33603,2013/11/27 03:13:09 PM,-33.93272,18.85819,105,116,10,1,0,0,2
33604,2013/11/27 03:13:11 PM,-33.93272,18.85819,105,156,9,1.2,0,0,2
33605,2013/11/27 03:13:15 PM,-33.93275,18.85819,105,180,10,1,1,0,2
33606,2013/11/27 03:13:19 PM,-33.93275,18.85819,106,66,10,1,1,1,2
33607,2013/11/27 03:13:21 PM,-33.93275,18.85825,106,92,9,1.2,1,1,6
33608,2013/11/27 03:13:24 PM,-33.93275,18.85825,106,248,9,1.2,0,0,4
33609,2013/11/27 03:13:31 PM,-33.93275,18.85819,107,156,9,1.2,1,1,2
33610,2013/11/27 03:13:42 PM,-33.93297,18.85828,107,0,8,1.8,1,1,3
33611,2013/11/27 03:14:14 PM,-33.93303,18.85828,100,0,10,1.2,1,0,0
33612,2013/11/27 03:20:07 PM,-33.93311,18.85828,100,158,9,1.1,0,0,6
33613,2013/11/27 03:20:13 PM,-33.93319,18.85839,106,122,8,1.9,1,1,8
33614,2013/11/27 03:20:14 PM,-33.93319,18.85842,107,98,8,1.9,1,1,6
33615,2013/11/27 03:20:21 PM,-33.93317,18.85842,108,274,8,1.9,0,0,3
33616,2013/11/27 03:20:37 PM,-33.93317,18.85828,112,314,8,1.9,1,0,2
33617,2013/11/27 03:20:39 PM,-33.93314,18.85828,111,338,8,1.9,1,0,3
33618,2013/11/27 03:20:52 PM,-33.93303,18.85825,112,300,9,1.1,0,0,4
33619,2013/11/27 03:20:54 PM,-33.93303,18.85822,111,270,9,1.1,0,1,3
33620,2013/11/27 03:20:57 PM,-33.93303,18.85819,110,248,9,1.1,1,0,3
33621,2013/11/27 03:21:03 PM,-33.933,18.85819,109,12,9,1.5,1,1,5
33622,2013/11/27 03:21:05 PM,-33.93294,18.85819,109,346,9,1.1,1,3,15
33623,2013/11/27 03:21:07 PM,-33.93283,18.85814,108,322,9,1.1,0,4,17
33624,2013/11/27 03:21:10 PM,-33.93278,18.85808,108,296,9,1.1,1,3,13
33625,2013/11/27 03:21:17 PM,-33.93261,18.85753,107,264,8,1.9,0,0,27
33626,2013/11/27 03:21:25 PM,-33.93267,18.85706,106,286,9,1.1,1,4,16
33627,2013/11/27 03:21:27 PM,-33.93264,18.857,105,312,9,1.1,1,2,10
33628,2013/11/27 03:21:31 PM,-33.93258,18.85689,105,286,9,1.1,0,3,15
33629,2013/11/27 03:21:32 PM,-33.93258,18.85683,105,264,8,1.9,1,8,18
33630,2013/11/27 03:23:19 PM,-33.933,18.85281,96,238,9,1.1,1,5,21
33631,2013/11/27 03:23:20 PM,-33.93311,18.85272,96,202,9,1.1,0,0,26
33585,2013/11/27 03:23:49 PM,-33.93408,18.8525,99,0,9,1.1,0,0,0
33632,2013/11/27 03:24:54 PM,-33.93433,18.85239,102,236,9,1.1,1,3,11
33633,2013/11/27 03:24:56 PM,-33.93433,18.85225,102,282,9,1.1,0,0,18
33634,2013/11/27 03:25:06 PM,-33.93417,18.85158,102,304,8,1.9,1,8,31
33635,2013/11/27 03:25:07 PM,-33.93403,18.85144,101,328,9,1.1,0,0,33
33636,2013/11/27 03:25:10 PM,-33.93389,18.85142,101,358,9,1.1,0,9,34
33637,2013/11/27 03:25:13 PM,-33.93361,18.8515,100,20,7,1.9,1,11,42
33638,2013/11/27 03:25:28 PM,-33.93211,18.85208,100,356,9,1.1,0,0,30
33639,2013/11/27 03:26:03 PM,-33.92717,18.85125,99,20,9,1.1,1,16,59
33640,2013/11/27 03:27:03 PM,-33.92078,18.85308,101,354,9,1.1,1,8,33
33641,2013/11/27 03:27:05 PM,-33.92056,18.85297,101,328,9,1.1,0,0,30
33642,2013/11/27 03:27:54 PM,-33.91833,18.851,117,350,9,1.1,1,1,3
33643,2013/11/27 03:27:57 PM,-33.91822,18.85094,117,326,9,1.1,0,0,16
33644,2013/11/27 03:28:00 PM,-33.91817,18.85086,118,298,9,1.1,0,5,18
33645,2013/11/27 03:28:08 PM,-33.91778,18.85031,123,320,9,1.1,0,0,34
33646,2013/11/27 03:28:16 PM,-33.91742,18.84992,126,294,9,1.1,1,4,17
33647,2013/11/27 03:28:17 PM,-33.91742,18.84986,126,270,9,1.1,1,5,18
33648,2013/11/27 03:28:18 PM,-33.91744,18.84975,127,224,9,1.1,0,0,18
33588,2013/11/27 03:28:53 PM,-33.91828,18.84881,140,204,8,1.8,1,3,14
33649,2013/11/27 03:28:55 PM,-33.91828,18.84881,140,202,8,1.8,1,3,13
33650,2013/11/27 03:30:22 PM,-33.91992,18.84775,154,224,9,1.1,0,0,18
33651,2013/11/27 03:30:24 PM,-33.91997,18.84764,155,250,9,1.1,0,5,18
33652,2013/11/27 03:30:27 PM,-33.91997,18.84753,156,278,9,1.1,1,10,20
33653,2013/11/27 03:30:31 PM,-33.91992,18.84731,158,300,9,1.1,1,3,13
33654,2013/11/27 03:31:16 PM,-33.91961,18.84672,161,270,9,1.1,1,4,16
33655,2013/11/27 03:31:17 PM,-33.91961,18.84667,162,248,9,1.1,1,4,17
33656,2013/11/27 03:31:18 PM,-33.91969,18.84661,162,214,9,1.1,0,0,19
33657,2013/11/27 03:31:58 PM,-33.92108,18.84556,176,242,9,1.1,1,5,22
33658,2013/11/27 03:32:05 PM,-33.92119,18.84494,182,264,9,1.1,1,0,31
33659,2013/11/27 03:32:07 PM,-33.92117,18.84478,184,288,9,1.1,1,7,26
33660,2013/11/27 03:32:41 PM,-33.92078,18.84375,190,318,9,1.1,1,3,15
33661,2013/11/27 03:32:43 PM,-33.92075,18.84372,190,346,9,1.1,1,3,13
33662,2013/11/27 03:32:47 PM,-33.92053,18.84375,189,8,8,1.6,0,3,14
33663,2013/11/27 03:33:49 PM,-33.91986,18.84403,182,38,9,1.1,1,1,4
33591,2013/11/27 03:33:57 PM,-33.91964,18.84417,178,28,9,1.1,1,6,20
33664,2013/11/27 03:34:25 PM,-33.91875,18.84486,168,78,9,1.1,1,5,19
33665,2013/11/27 03:34:26 PM,-33.91875,18.84494,167,102,9,1.1,1,5,21
33666,2013/11/27 03:34:47 PM,-33.91922,18.84606,165,64,9,1.1,0,0,7
33667,2013/11/27 03:34:49 PM,-33.91919,18.84608,164,42,9,1.1,0,0,7
33668,2013/11/27 03:34:54 PM,-33.91908,18.84617,163,18,8,1.6,1,3,13
33669,2013/11/27 03:34:56 PM,-33.919,18.84617,163,350,8,1.6,0,0,11
33670,2013/11/27 03:35:04 PM,-33.91883,18.84608,161,328,9,1.1,0,2,8
33671,2013/11/27 03:35:06 PM,-33.91881,18.84603,161,304,9,1.1,1,3,10
33672,2013/11/27 03:35:11 PM,-33.91869,18.84586,161,332,9,1.1,0,3,11
33673,2013/11/27 03:35:12 PM,-33.91867,18.84586,161,358,9,1.1,0,2,9
33674,2013/11/27 03:35:35 PM,-33.91861,18.84589,160,30,9,1.1,1,2,7
33675,2013/11/27 03:35:45 PM,-33.91814,18.84628,155,70,9,1.1,0,0,19
33676,2013/11/27 03:35:52 PM,-33.91808,18.84667,152,92,9,1.1,1,5,19
33677,2013/11/27 03:35:56 PM,-33.91808,18.84697,150,68,9,1.1,0,0,16
33678,2013/11/27 03:35:58 PM,-33.91806,18.847,149,40,9,1.1,0,4,17
33679,2013/11/27 03:35:59 PM,-33.91803,18.84703,149,18,8,1.6,1,0,18
33680,2013/11/27 03:36:04 PM,-33.91775,18.84708,148,356,9,1.1,1,6,24
33681,2013/11/27 03:36:30 PM,-33.91622,18.84653,140,42,8,1.6,1,4,17
33682,2013/11/27 03:36:31 PM,-33.91619,18.84658,139,66,9,1.1,1,5,19
33683,2013/11/27 03:36:41 PM,-33.91603,18.84769,134,90,9,1.1,0,0,44
33684,2013/11/27 03:36:52 PM,-33.91625,18.84903,127,112,9,1.1,0,0,38
33685,2013/11/27 03:37:18 PM,-33.91731,18.85094,115,138,8,1.7,1,12,47
33686,2013/11/27 03:37:20 PM,-33.91764,18.85108,115,176,8,1.7,0,0,45
33687,2013/11/27 03:37:29 PM,-33.91844,18.85106,117,152,8,1.7,0,0,29
33688,2013/11/27 03:37:46 PM,-33.91894,18.85153,113,130,9,1.1,1,1,2
33689,2013/11/27 03:38:16 PM,-33.92061,18.85303,103,154,9,1.1,1,15,30
33690,2013/11/27 03:38:42 PM,-33.92083,18.85311,106,180,9,1.1,0,1,11
33596,2013/11/27 03:38:58 PM,-33.92205,18.85281,104,186,9,1.1,0,0,46
33691,2013/11/27 03:39:30 PM,-33.92617,18.85211,103,206,9,1.1,1,14,26
33692,2013/11/27 03:39:46 PM,-33.92786,18.85108,100,182,9,1.1,0,11,42
33693,2013/11/27 03:40:39 PM,-33.93403,18.85153,98,156,9,1.1,1,7,29
33694,2013/11/27 03:40:40 PM,-33.93411,18.85161,99,130,9,1.1,0,0,20
33695,2013/11/27 03:41:09 PM,-33.93419,18.85175,99,106,9,1.1,0,0,7
33696,2013/11/27 03:41:20 PM,-33.93428,18.85225,98,78,9,1.1,0,0,23
33697,2013/11/27 03:41:21 PM,-33.93425,18.85231,97,56,9,1.1,0,0,25
33698,2013/11/27 03:41:24 PM,-33.93414,18.85239,97,22,9,1.1,1,6,25
33699,2013/11/27 03:41:40 PM,-33.93278,18.85286,97,72,9,1.1,0,0,32
33700,2013/11/27 03:41:41 PM,-33.93278,18.85294,97,94,9,1.1,0,0,36
33701,2013/11/27 03:42:12 PM,-33.93244,18.85769,102,128,9,1.1,0,2,11
33702,2013/11/27 03:42:13 PM,-33.93247,18.85769,102,156,9,1.1,0,0,11
33703,2013/11/27 03:42:16 PM,-33.93253,18.85772,102,178,9,1.1,1,2,11
33704,2013/11/27 03:42:19 PM,-33.93264,18.85778,101,140,9,1.1,1,5,22
33705,2013/11/27 03:42:20 PM,-33.93269,18.85792,101,104,9,1.1,0,0,26
33706,2013/11/27 03:42:25 PM,-33.93278,18.85817,101,140,9,1.1,1,12,22
33707,2013/11/27 03:42:27 PM,-33.93286,18.85822,101,162,9,1.1,1,3,14
33708,2013/11/27 03:43:40 PM,-33.933,18.85825,105,204,9,1.1,1,2,8
33709,2013/11/27 03:43:41 PM,-33.933,18.85819,105,240,9,1.1,1,2,11
33710,2013/11/27 03:43:42 PM,-33.933,18.85814,105,302,9,1.1,0,2,11
33711,2013/11/27 03:43:43 PM,-33.93294,18.85811,104,338,9,1.1,0,0,12
33712,2013/11/27 03:43:44 PM,-33.93292,18.85811,104,6,9,1.1,0,3,13
33713,2013/11/27 03:43:49 PM,-33.93281,18.85811,104,318,9,1.1,1,5,13
33714,2013/11/27 03:43:50 PM,-33.93278,18.85808,104,296,9,1.1,1,3,13
33715,2013/11/27 03:43:52 PM,-33.93275,18.85803,104,320,9,1.1,1,2,8
33716,2013/11/27 03:43:53 PM,-33.93272,18.85806,104,18,9,1.1,0,0,7
33717,2013/11/27 03:43:58 PM,-33.93272,18.85808,104,182,9,1.1,0,0,2
33724,2013/11/27 03:44:02 PM,-33.93275,18.85803,104,202,9,1.1,1,0,0
33718,2013/11/27 03:44:05 PM,-33.93272,18.85808,104,60,9,1.1,1,1,6
33719,2013/11/27 03:44:06 PM,-33.93272,18.85814,104,106,9,1.1,0,0,15
33720,2013/11/27 03:44:15 PM,-33.93281,18.85847,103,132,9,1.1,1,1,7
33721,2013/11/27 03:44:49 PM,-33.93283,18.8585,107,0,9,1.1,1,0,0
33599,2013/11/27 03:45:03 PM,-33.93286,18.85847,107,0,9,1.1,1,0,0
34972,2013/11/27 03:55:42 PM,-33.93281,18.8585,124,318,9,2.1,0,1,2
34973,2013/11/27 03:55:47 PM,-33.93281,18.8585,121,80,10,1.3,1,1,5
34974,2013/11/27 03:56:43 PM,-33.93278,18.85853,111,290,10,1.1,1,0,2
33892,2013/11/27 03:57:25 PM,-33.93278,18.85847,108,0,10,1,1,0,0
34975,2013/11/27 03:57:59 PM,-33.93278,18.85844,111,268,9,1,1,0,2
34976,2013/11/27 03:58:00 PM,-33.93278,18.85844,111,268,10,0.9,1,0,2
34977,2013/11/27 03:58:04 PM,-33.93278,18.85844,111,142,10,1.3,1,1,5
34978,2013/11/27 03:58:06 PM,-33.93283,18.85847,111,166,11,0.9,1,4,9
34979,2013/11/27 03:58:17 PM,-33.93283,18.85847,112,136,10,0.9,0,0,2
34980,2013/11/27 04:00:06 PM,-33.93283,18.85847,104,0,10,1,0,0,0
34981,2013/11/27 04:01:15 PM,-33.93283,18.85853,97,152,11,0.9,1,1,1
34982,2013/11/27 04:01:54 PM,-33.93292,18.8585,106,0,11,0.9,1,0,0
34070,2013/11/27 04:21:24 PM,-33.93306,18.85858,93,0,12,0.8,1,0,0
34983,2013/11/27 04:24:22 PM,-33.93311,18.85856,111,226,12,0.7,1,1,5
34984,2013/11/27 04:24:23 PM,-33.93311,18.85853,111,250,12,0.7,0,0,5
34985,2013/11/27 04:24:52 PM,-33.93311,18.85842,108,96,12,0.8,1,0,2
34986,2013/11/27 04:24:57 PM,-33.93311,18.85844,108,70,12,0.8,1,1,2
34987,2013/11/27 04:25:01 PM,-33.93311,18.85847,108,318,11,0.8,0,0,2
34988,2013/11/27 04:25:02 PM,-33.93311,18.85844,108,288,11,0.8,0,0,5
34989,2013/11/27 04:25:08 PM,-33.93311,18.85839,108,266,12,0.8,0,0,2
34990,2013/11/27 04:25:16 PM,-33.93311,18.85842,108,102,11,0.8,1,0,2
34991,2013/11/27 04:25:17 PM,-33.93311,18.85842,108,78,10,0.9,0,0,2
34992,2013/11/27 04:25:42 PM,-33.93311,18.85844,108,264,12,0.8,1,0,2
34993,2013/11/27 04:26:05 PM,-33.93308,18.85847,108,84,12,0.7,1,0,2
34994,2013/11/27 04:26:33 PM,-33.93308,18.85847,110,0,11,0.8,1,0,0
34076,2013/11/27 04:28:31 PM,-33.93311,18.85847,112,0,11,0.8,0,0,0
34995,2013/11/27 04:31:17 PM,-33.93308,18.8585,113,304,10,0.9,1,0,2
34996,2013/11/27 04:31:19 PM,-33.93308,18.85847,113,272,10,0.9,1,0,2
34997,2013/11/27 04:31:21 PM,-33.93308,18.85844,112,250,12,0.8,1,0,2
34998,2013/11/27 04:31:25 PM,-33.93308,18.85844,112,40,12,0.8,0,0,3
34999,2013/11/27 04:31:27 PM,-33.93308,18.8585,112,82,12,0.8,0,0,4
35000,2013/11/27 04:31:29 PM,-33.93311,18.8585,112,114,11,0.9,0,0,3
35001,2013/11/27 04:31:37 PM,-33.93311,18.85853,111,172,9,1.5,1,0,2
35002,2013/11/27 04:31:40 PM,-33.93311,18.85856,111,76,11,0.8,1,0,3
35003,2013/11/27 04:31:42 PM,-33.93308,18.85858,111,52,12,0.8,0,0,3
35004,2013/11/27 04:31:44 PM,-33.93308,18.85858,111,28,12,0.9,0,0,2
35005,2013/11/27 04:31:46 PM,-33.93308,18.85858,111,356,12,0.9,0,0,2
35006,2013/11/27 04:32:26 PM,-33.93308,18.85858,109,0,12,0.8,1,0,0
35007,2013/11/27 04:37:00 PM,-33.93314,18.85867,117,176,10,3,0,1,5
35008,2013/11/27 04:37:03 PM,-33.93317,18.85861,115,222,9,1,1,2,8
35009,2013/11/27 04:37:04 PM,-33.93317,18.85858,115,250,10,0.9,1,3,12
35010,2013/11/27 04:37:08 PM,-33.93314,18.85842,113,290,11,0.8,1,4,13
35011,2013/11/27 04:37:10 PM,-33.93311,18.85836,111,324,12,0.7,1,3,10
35012,2013/11/27 04:37:14 PM,-33.93292,18.85828,108,346,11,0.8,0,0,18
35013,2013/11/27 04:37:18 PM,-33.93278,18.85822,107,324,11,0.8,1,4,19
35014,2013/11/27 04:37:20 PM,-33.93272,18.85811,106,288,11,0.8,1,3,17
35015,2013/11/27 04:37:30 PM,-33.93261,18.85761,104,266,10,1.2,0,0,24
35016,2013/11/27 04:37:38 PM,-33.93267,18.85706,103,302,12,0.7,0,0,15
35017,2013/11/27 04:37:55 PM,-33.93256,18.85686,102,268,10,1,1,4,16
35018,2013/11/27 04:38:57 PM,-33.93303,18.85336,98,246,12,0.7,1,2,6
35019,2013/11/27 04:39:02 PM,-33.93311,18.85325,98,216,12,0.7,0,3,15
35020,2013/11/27 04:39:16 PM,-33.93397,18.85275,97,194,12,0.7,0,0,20
35021,2013/11/27 04:39:32 PM,-33.93503,18.85261,97,172,12,0.8,0,0,32
35022,2013/11/27 04:39:55 PM,-33.93644,18.85289,98,144,11,0.8,0,0,15
35023,2013/11/27 04:40:13 PM,-33.93669,18.85306,97,176,10,0.9,0,3,14
35024,2013/11/27 04:40:30 PM,-33.938,18.85319,97,204,11,0.8,0,5,18
35025,2013/11/27 04:40:31 PM,-33.93803,18.85317,97,230,11,0.8,1,9,17
35026,2013/11/27 04:40:32 PM,-33.93803,18.85311,97,252,12,0.7,1,5,19
35027,2013/11/27 04:40:43 PM,-33.93822,18.85225,95,204,12,0.7,0,0,14
35028,2013/11/27 04:40:44 PM,-33.93825,18.85225,95,180,11,0.9,0,4,16
35029,2013/11/27 04:41:46 PM,-33.94017,18.85275,96,226,12,0.7,1,3,10
35030,2013/11/27 04:41:47 PM,-33.94019,18.85267,96,254,12,0.7,0,0,18
35031,2013/11/27 04:41:57 PM,-33.94033,18.85203,94,230,12,0.7,0,3,13
35032,2013/11/27 04:41:58 PM,-33.94036,18.852,94,206,12,0.7,1,7,14
35033,2013/11/27 04:41:59 PM,-33.94042,18.852,94,182,12,0.7,1,4,16
35034,2013/11/27 04:43:14 PM,-33.94431,18.85267,96,160,11,0.8,1,1,4
35035,2013/11/27 04:44:38 PM,-33.95406,18.85586,112,182,11,0.8,1,37,70
35036,2013/11/27 04:45:04 PM,-33.95644,18.85525,112,204,12,0.7,1,7,24
35037,2013/11/27 04:46:18 PM,-33.96372,18.84994,133,226,12,0.7,1,26,51
35038,2013/11/27 04:46:47 PM,-33.96714,18.84522,112,204,12,0.7,0,17,66
34587,2013/11/27 04:46:49 PM,-33.96747,18.84505,111,200,11,0.8,1,32,61
35039,2013/11/27 04:49:09 PM,-33.98325,18.83669,133,226,12,0.7,1,24,92
35040,2013/11/27 04:49:49 PM,-33.98944,18.82764,114,204,11,0.8,1,23,89
35041,2013/11/27 04:50:00 PM,-33.99181,18.82694,100,182,11,0.8,0,0,81
34805,2013/11/27 04:51:53 PM,-34.00139,18.82492,106,194,12,0.7,0,6,27
35042,2013/11/27 04:53:00 PM,-34.01314,18.82153,124,192,12,0.7,1,24,89
35043,2013/11/27 04:54:26 PM,-34.02719,18.82039,105,170,12,0.7,0,0,73
35044,2013/11/27 04:54:41 PM,-34.02989,18.82161,102,148,12,0.7,0,0,49
35045,2013/11/27 04:56:11 PM,-34.03383,18.82364,121,172,12,0.7,0,0,63
34843,2013/11/27 04:56:54 PM,-34.04161,18.82456,159,172,12,0.7,0,22,84
35046,2013/11/27 04:58:23 PM,-34.06039,18.82936,108,194,12,0.7,1,0,92
35047,2013/11/27 05:00:29 PM,-34.06933,18.82556,51,162,12,0.7,1,5,20
35048,2013/11/27 05:00:30 PM,-34.06936,18.82561,51,140,12,0.7,1,6,22
35049,2013/11/27 05:00:32 PM,-34.0695,18.82583,51,118,12,0.7,0,8,35
34846,2013/11/27 05:01:57 PM,-34.07486,18.84072,63,112,12,0.7,0,17,64
35050,2013/11/27 05:02:47 PM,-34.07825,18.84719,49,142,11,0.8,0,13,47
35051,2013/11/27 05:05:40 PM,-34.08428,18.85161,31,174,12,0.7,1,3,10
35052,2013/11/27 05:05:41 PM,-34.08431,18.85161,31,196,12,0.7,1,3,11
35053,2013/11/27 05:05:42 PM,-34.08436,18.85158,31,236,12,0.7,0,0,12
35054,2013/11/27 05:05:56 PM,-34.08456,18.85117,31,214,11,0.9,0,0,11
34850,2013/11/27 05:06:59 PM,-34.08461,18.85108,35,0,12,0.8,1,0,0
35055,2013/11/27 05:08:01 PM,-34.08461,18.85106,36,0,12,0.7,1,0,0
