GPSID,Time,Latitude,Longitude,Altitude,Heading,Satellites,HDOP,AgeOfReading,DistanceSinceReading,Velocity
32356,2013/11/27 11:56:11 AM,-33.93975,18.85464,107,22,9,0.7,0,0,23
32357,2013/11/27 11:56:13 AM,-33.93961,18.85467,106,356,8,0.8,0,0,25
32358,2013/11/27 11:56:34 AM,-33.93794,18.85492,111,20,8,0.9,0,8,33
32359,2013/11/27 11:56:45 AM,-33.93733,18.85536,111,44,9,0.7,0,0,15
32360,2013/11/27 11:56:49 AM,-33.93728,18.8555,110,66,9,0.7,0,2,9
32361,2013/11/27 11:57:02 AM,-33.93703,18.85617,110,14,9,0.7,0,0,18
32362,2013/11/27 11:57:04 AM,-33.93692,18.85617,110,352,9,0.7,0,0,23
32363,2013/11/27 11:57:15 AM,-33.93633,18.85611,108,20,7,0.9,0,0,13
32364,2013/11/27 11:57:16 AM,-33.93631,18.85614,109,46,8,0.9,0,4,18
32365,2013/11/27 11:57:17 AM,-33.93628,18.85619,109,68,8,0.9,0,5,20
32366,2013/11/27 11:57:56 AM,-33.93581,18.85906,115,40,9,0.7,0,0,19
32367,2013/11/27 11:57:58 AM,-33.93569,18.85908,114,18,8,0.8,0,0,18
32368,2013/11/27 11:58:03 AM,-33.93553,18.85908,112,356,8,0.9,1,3,14
32369,2013/11/27 11:58:18 AM,-33.93542,18.85911,116,30,9,0.7,0,0,2
32370,2013/11/27 11:58:21 AM,-33.93536,18.85911,114,6,8,0.9,0,3,14
32371,2013/11/27 11:58:52 AM,-33.93342,18.85917,109,344,8,0.8,1,6,25
32372,2013/11/27 11:58:58 AM,-33.93306,18.85903,109,322,9,0.7,0,0,17
32373,2013/11/27 11:58:59 AM,-33.93303,18.859,109,292,9,0.7,0,4,16
32374,2013/11/27 11:59:00 AM,-33.93303,18.85894,110,258,7,1,0,0,16
32375,2013/11/27 11:59:23 AM,-33.93311,18.85839,113,108,9,1,0,0,2
32376,2013/11/27 11:59:50 AM,-33.93311,18.85842,115,296,9,0.7,1,0,2
32377,2013/11/27 11:59:53 AM,-33.93308,18.85833,115,256,9,0.7,0,0,6
32378,2013/11/27 11:59:54 AM,-33.93311,18.85833,115,232,9,0.7,0,1,7
32379,2013/11/27 11:59:55 AM,-33.93311,18.85833,114,208,9,0.7,0,0,7
32380,2013/11/27 11:59:57 AM,-33.93317,18.85833,114,186,9,0.7,0,0,3
32381,2013/11/27 12:00:02 PM,-33.93314,18.85833,113,88,9,0.7,0,0,2
32382,2013/11/27 12:00:03 PM,-33.93314,18.85833,114,60,9,0.7,0,1,4
32383,2013/11/27 12:00:05 PM,-33.93311,18.85836,113,38,9,1,0,0,3
32384,2013/11/27 12:00:08 PM,-33.93311,18.85836,113,344,9,1,0,0,2
32385,2013/11/27 12:01:56 PM,-33.93314,18.85836,110,0,8,1,1,0,0
32306,2013/11/27 12:04:02 PM,-33.93317,18.85833,111,0,8,1,1,0,0
32309,2013/11/27 12:09:03 PM,-33.93311,18.85833,111,0,9,1,0,0,0
32386,2013/11/27 12:10:00 PM,-33.93314,18.85833,113,168,9,0.8,0,0,2
32387,2013/11/27 12:10:01 PM,-33.93317,18.85833,112,174,9,0.8,1,2,5
32388,2013/11/27 12:10:03 PM,-33.93317,18.85836,112,142,8,1,0,0,6
32389,2013/11/27 12:10:05 PM,-33.93319,18.85842,112,98,7,1.1,0,1,9
32390,2013/11/27 12:10:07 PM,-33.93317,18.85842,113,68,7,1,0,2,10
32391,2013/11/27 12:10:08 PM,-33.93317,18.85844,113,40,7,1,1,2,10
32392,2013/11/27 12:10:14 PM,-33.93311,18.85847,113,210,8,0.8,1,1,3
32393,2013/11/27 12:10:22 PM,-33.93311,18.85842,113,306,7,1,0,0,5
32394,2013/11/27 12:10:24 PM,-33.93311,18.85836,113,276,7,1,0,1,7
32395,2013/11/27 12:10:28 PM,-33.93311,18.85831,114,306,7,1,0,1,7
32396,2013/11/27 12:10:31 PM,-33.93306,18.85828,113,344,8,0.8,0,2,8
32397,2013/11/27 12:10:35 PM,-33.93294,18.85822,112,314,8,0.8,1,4,15
32398,2013/11/27 12:10:37 PM,-33.93289,18.85817,111,346,8,0.8,1,3,14
32399,2013/11/27 12:10:39 PM,-33.93278,18.85811,111,320,8,0.8,0,3,10
32400,2013/11/27 12:10:41 PM,-33.93275,18.85808,111,294,7,0.9,0,2,12
32401,2013/11/27 12:10:49 PM,-33.93258,18.85761,110,266,8,0.8,0,6,25
32402,2013/11/27 12:10:58 PM,-33.93267,18.85706,109,288,8,0.8,1,7,14
32403,2013/11/27 12:11:04 PM,-33.93261,18.857,108,316,8,0.8,1,1,2
32404,2013/11/27 12:11:22 PM,-33.93253,18.85689,108,284,8,0.8,0,2,12
32405,2013/11/27 12:11:24 PM,-33.93256,18.85683,108,254,8,0.8,1,3,13
32406,2013/11/27 12:11:54 PM,-33.933,18.85308,103,282,9,0.8,0,0,23
32407,2013/11/27 12:12:57 PM,-33.93294,18.85286,101,260,8,1,0,0,9
32408,2013/11/27 12:12:59 PM,-33.933,18.85281,101,230,8,1,0,3,15
32409,2013/11/27 12:13:02 PM,-33.93306,18.85275,101,202,8,0.8,1,9,18
32311,2013/11/27 12:14:04 PM,-33.93425,18.85247,101,0,9,0.8,0,0,0
32410,2013/11/27 12:14:41 PM,-33.93433,18.85242,100,226,9,0.8,1,2,13
32411,2013/11/27 12:14:42 PM,-33.93433,18.85239,100,248,9,0.8,1,8,15
32412,2013/11/27 12:14:44 PM,-33.93433,18.85228,100,288,8,0.8,1,4,16
32413,2013/11/27 12:14:55 PM,-33.93408,18.85153,100,314,8,0.8,0,7,26
32414,2013/11/27 12:14:58 PM,-33.93397,18.85144,99,336,9,0.8,1,14,26
32415,2013/11/27 12:15:00 PM,-33.93383,18.85144,99,2,9,0.8,1,8,30
32416,2013/11/27 12:15:58 PM,-33.927,18.85133,98,24,8,0.8,0,0,50
32417,2013/11/27 12:17:22 PM,-33.92467,18.85236,103,2,9,0.8,0,13,51
32418,2013/11/27 12:18:08 PM,-33.92061,18.853,105,338,9,0.8,0,8,32
32419,2013/11/27 12:18:33 PM,-33.91917,18.85161,114,316,10,0.7,1,8,35
32420,2013/11/27 12:18:46 PM,-33.91831,18.85094,121,338,9,0.8,1,5,21
32421,2013/11/27 12:18:49 PM,-33.91817,18.85086,122,314,10,0.7,0,3,13
32422,2013/11/27 12:18:51 PM,-33.91814,18.85078,123,282,10,0.7,0,3,15
32423,2013/11/27 12:18:56 PM,-33.91806,18.85061,125,310,10,0.7,1,5,19
32313,2013/11/27 12:19:06 PM,-33.91761,18.85008,128,322,9,0.8,0,6,25
32424,2013/11/27 12:19:12 PM,-33.91742,18.84986,130,288,10,0.7,1,3,14
32425,2013/11/27 12:19:14 PM,-33.91742,18.84981,131,256,10,0.7,0,1,3
32426,2013/11/27 12:19:32 PM,-33.91742,18.84975,133,232,10,0.7,0,2,10
32427,2013/11/27 12:19:57 PM,-33.91825,18.84878,140,206,9,0.8,0,0,12
32428,2013/11/27 12:20:37 PM,-33.91992,18.84769,152,228,9,0.8,1,4,16
32429,2013/11/27 12:20:38 PM,-33.91994,18.84761,153,254,9,0.8,0,0,18
32430,2013/11/27 12:20:40 PM,-33.91994,18.8475,154,282,10,0.7,0,5,20
32431,2013/11/27 12:20:59 PM,-33.91961,18.84664,164,240,9,0.8,1,7,15
32432,2013/11/27 12:21:01 PM,-33.91969,18.84658,164,206,9,0.8,1,4,17
32433,2013/11/27 12:21:49 PM,-33.92103,18.84558,173,236,9,0.8,0,0,16
32434,2013/11/27 12:21:58 PM,-33.92117,18.84508,179,258,9,0.8,1,6,23
32435,2013/11/27 12:22:02 PM,-33.92117,18.84481,182,284,9,0.8,1,5,21
32436,2013/11/27 12:22:45 PM,-33.92078,18.84372,194,314,9,0.8,0,0,12
32437,2013/11/27 12:23:13 PM,-33.92075,18.84369,192,356,9,0.8,0,1,5
32438,2013/11/27 12:23:24 PM,-33.92017,18.84383,187,20,10,1,0,0,35
32315,2013/11/27 12:24:09 PM,-33.91908,18.84458,175,0,10,0.8,1,0,0
32439,2013/11/27 12:24:29 PM,-33.91869,18.84486,173,58,10,0.8,1,6,23
32440,2013/11/27 12:24:30 PM,-33.91869,18.84492,173,88,10,0.8,1,6,23
32441,2013/11/27 12:24:31 PM,-33.91875,18.84508,172,118,10,0.8,0,7,31
32442,2013/11/27 12:24:47 PM,-33.91917,18.84594,167,96,8,0.8,1,10,18
32443,2013/11/27 12:24:49 PM,-33.91914,18.84608,166,72,11,0.7,1,4,18
32444,2013/11/27 12:24:51 PM,-33.91908,18.84617,165,32,10,0.8,1,4,19
32445,2013/11/27 12:24:52 PM,-33.919,18.84617,165,354,10,0.8,0,0,19
32446,2013/11/27 12:24:57 PM,-33.91881,18.84608,163,328,10,0.8,0,3,12
32447,2013/11/27 12:25:01 PM,-33.91872,18.846,163,300,10,0.8,1,5,19
32448,2013/11/27 12:25:03 PM,-33.91867,18.84589,163,332,10,0.8,1,5,21
32449,2013/11/27 12:25:04 PM,-33.91853,18.84592,162,24,10,0.8,0,0,23
32450,2013/11/27 12:25:12 PM,-33.91814,18.84619,159,52,9,0.8,1,5,18
32451,2013/11/27 12:25:14 PM,-33.91808,18.84642,158,76,9,0.8,0,0,27
32452,2013/11/27 12:25:25 PM,-33.918,18.847,152,28,10,0.8,1,5,20
32453,2013/11/27 12:25:27 PM,-33.91783,18.84706,151,6,9,0.8,0,7,29
32454,2013/11/27 12:25:31 PM,-33.91761,18.84703,150,340,10,0.8,1,7,27
32455,2013/11/27 12:26:27 PM,-33.91625,18.84647,144,8,10,0.8,0,6,23
32456,2013/11/27 12:26:28 PM,-33.91619,18.8465,143,36,9,0.9,0,6,20
32457,2013/11/27 12:26:30 PM,-33.91617,18.84656,142,68,10,0.8,1,5,21
32458,2013/11/27 12:26:42 PM,-33.916,18.84778,137,92,9,0.8,0,10,41
32459,2013/11/27 12:26:57 PM,-33.91633,18.84942,130,114,9,0.8,0,0,24
32460,2013/11/27 12:27:19 PM,-33.91733,18.85097,119,142,9,0.8,0,0,42
32461,2013/11/27 12:27:21 PM,-33.91753,18.85108,119,164,10,0.8,0,0,41
32462,2013/11/27 12:27:24 PM,-33.91772,18.85108,120,186,10,0.8,1,21,42
32463,2013/11/27 12:27:31 PM,-33.91839,18.85103,121,158,10,0.8,0,0,28
32464,2013/11/27 12:27:35 PM,-33.91856,18.85117,120,132,10,0.8,1,14,26
32317,2013/11/27 12:29:09 PM,-33.91875,18.85128,126,0,10,0.8,0,0,0
32465,2013/11/27 12:29:38 PM,-33.91872,18.85131,126,0,10,0.8,1,0,0
32466,2013/11/27 12:32:29 PM,-33.91872,18.85133,126,164,10,0.8,1,0,2
32467,2013/11/27 12:34:11 PM,-33.91878,18.85136,125,152,10,0.8,0,1,6
32320,2013/11/27 12:34:13 PM,-33.91886,18.85133,124,142,10,0.8,0,0,9
32468,2013/11/27 12:34:21 PM,-33.919,18.85158,122,130,10,0.8,1,3,16
32469,2013/11/27 12:34:53 PM,-33.92067,18.85308,109,154,10,0.8,0,5,20
32470,2013/11/27 12:34:57 PM,-33.92078,18.85311,109,180,10,0.8,0,5,20
32471,2013/11/27 12:35:59 PM,-33.92611,18.85217,105,202,9,0.8,0,0,17
32472,2013/11/27 12:36:22 PM,-33.92792,18.85111,101,180,10,0.8,1,12,48
32473,2013/11/27 12:37:10 PM,-33.93261,18.85203,100,202,10,0.8,1,2,5
32474,2013/11/27 12:38:11 PM,-33.93392,18.85153,99,176,10,0.8,1,7,28
32475,2013/11/27 12:38:12 PM,-33.93403,18.85158,100,146,8,0.8,0,0,25
32476,2013/11/27 12:38:15 PM,-33.93411,18.85175,100,112,10,0.8,0,5,21
32477,2013/11/27 12:39:00 PM,-33.93425,18.85225,104,90,10,0.8,1,3,9
32478,2013/11/27 12:39:02 PM,-33.93422,18.85233,103,66,10,0.8,1,4,16
32479,2013/11/27 12:39:04 PM,-33.93411,18.85244,103,32,10,0.8,0,5,22
32480,2013/11/27 12:39:08 PM,-33.93389,18.85253,102,8,9,0.9,0,6,24
32323,2013/11/27 12:39:14 PM,-33.93358,18.85256,102,8,10,0.8,0,0,11
32481,2013/11/27 12:39:35 PM,-33.93283,18.85275,100,32,10,0.8,0,6,22
32482,2013/11/27 12:39:36 PM,-33.93281,18.85281,100,54,9,0.9,0,6,21
32483,2013/11/27 12:39:39 PM,-33.93278,18.85294,100,92,10,0.8,1,6,24
32484,2013/11/27 12:40:15 PM,-33.93242,18.85769,105,128,9,0.8,1,3,13
32485,2013/11/27 12:40:16 PM,-33.93247,18.85772,106,164,9,0.8,0,0,10
32486,2013/11/27 12:40:21 PM,-33.93261,18.85778,106,138,10,0.8,0,4,17
32487,2013/11/27 12:40:24 PM,-33.93267,18.85789,106,112,10,0.8,1,10,19
32488,2013/11/27 12:41:20 PM,-33.93278,18.85847,113,318,10,0.8,1,1,2
32489,2013/11/27 12:41:23 PM,-33.93278,18.85844,114,288,10,0.9,1,1,3
32490,2013/11/27 12:41:43 PM,-33.93275,18.85833,116,266,10,0.8,1,0,3
32491,2013/11/27 12:42:02 PM,-33.93272,18.85819,116,148,10,0.8,1,1,4
32492,2013/11/27 12:42:33 PM,-33.93294,18.85825,112,176,9,0.9,1,1,5
32493,2013/11/27 12:42:34 PM,-33.93294,18.85825,112,198,9,0.9,1,2,6
32494,2013/11/27 12:42:35 PM,-33.93297,18.85825,112,230,9,0.8,1,1,9
32495,2013/11/27 12:42:36 PM,-33.93297,18.85817,112,288,9,0.8,0,0,10
32496,2013/11/27 12:42:37 PM,-33.93294,18.85817,112,320,10,0.8,0,2,11
32497,2013/11/27 12:42:38 PM,-33.93292,18.85814,112,348,10,0.8,0,2,11
32498,2013/11/27 12:42:39 PM,-33.93289,18.85817,112,12,10,0.8,0,2,11
32499,2013/11/27 12:42:43 PM,-33.93281,18.85817,111,348,10,0.8,0,3,12
32500,2013/11/27 12:42:44 PM,-33.93278,18.85814,111,320,10,0.8,1,6,13
32501,2013/11/27 12:42:46 PM,-33.93275,18.85808,111,296,10,0.8,1,3,13
32502,2013/11/27 12:43:27 PM,-33.93267,18.85786,111,264,10,0.8,0,0,2
32503,2013/11/27 12:43:31 PM,-33.93269,18.85783,110,232,10,0.8,0,0,4
32504,2013/11/27 12:43:36 PM,-33.93272,18.85781,110,206,9,0.8,1,1,4
32505,2013/11/27 12:43:39 PM,-33.93275,18.85778,109,180,8,0.9,1,1,5
32506,2013/11/27 12:43:41 PM,-33.93278,18.85781,109,156,10,0.8,1,1,5
32507,2013/11/27 12:43:46 PM,-33.93278,18.85781,109,8,9,0.8,1,0,3
32508,2013/11/27 12:43:57 PM,-33.93275,18.85783,111,82,10,0.8,1,0,3
32509,2013/11/27 12:44:02 PM,-33.93275,18.85783,111,350,10,0.8,1,0,2
32510,2013/11/27 12:44:16 PM,-33.93272,18.85778,111,264,10,0.9,1,0,2
32515,2013/11/27 12:44:17 PM,-33.93275,18.85778,111,262,10,0.9,1,0,1
32511,2013/11/27 12:45:41 PM,-33.93275,18.85778,109,0,10,0.8,1,0,0
32512,2013/11/27 12:46:06 PM,-33.93275,18.85778,109,0,10,0.8,0,0,0
32324,2013/11/27 12:46:13 PM,-33.93278,18.85778,108,0,10,0.9,1,0,0
33418,2013/11/27 12:55:20 PM,-33.93272,18.85778,116,78,10,0.9,1,1,5
33419,2013/11/27 12:55:27 PM,-33.93269,18.85792,115,102,10,0.8,1,5,9
33420,2013/11/27 12:55:43 PM,-33.93278,18.85847,114,144,10,0.8,0,2,9
33421,2013/11/27 12:55:47 PM,-33.93281,18.8585,114,98,10,0.8,1,1,2
33422,2013/11/27 12:56:19 PM,-33.93278,18.85847,121,0,9,1,0,0,0
32776,2013/11/27 01:48:56 PM,-33.93295,18.85853,79,0,10,1.1,0,0,0
32875,2013/11/27 02:12:03 PM,-33.93275,18.85853,114,0,10,1,1,0,0
32877,2013/11/27 02:13:53 PM,-33.93269,18.85842,123,0,10,1,1,0,0
33423,2013/11/27 02:21:49 PM,-33.93269,18.85839,120,260,9,1,1,2,5
33424,2013/11/27 02:21:51 PM,-33.93269,18.85836,119,284,9,1,0,1,4
33425,2013/11/27 02:21:56 PM,-33.93269,18.85831,117,262,9,1,1,1,3
33426,2013/11/27 02:22:08 PM,-33.93275,18.85819,115,294,8,2.2,0,0,3
33427,2013/11/27 02:22:12 PM,-33.93275,18.85817,114,178,9,1,0,0,3
33428,2013/11/27 02:22:22 PM,-33.93308,18.85833,113,134,9,1,0,0,20
33429,2013/11/27 02:22:23 PM,-33.93311,18.85836,112,106,9,1,0,5,20
33430,2013/11/27 02:22:24 PM,-33.93311,18.85844,112,78,9,1,0,5,19
33431,2013/11/27 02:22:47 PM,-33.93306,18.85903,109,100,9,1,1,2,8
33432,2013/11/27 02:22:48 PM,-33.93311,18.85908,109,144,9,1,0,0,17
33433,2013/11/27 02:22:57 PM,-33.93372,18.85933,109,172,8,2.2,0,0,40
33434,2013/11/27 02:24:02 PM,-33.937,18.85956,108,150,8,2.2,1,3,14
33435,2013/11/27 02:24:08 PM,-33.93725,18.85969,109,176,8,1.1,1,6,24
33436,2013/11/27 02:24:44 PM,-33.93883,18.86017,109,198,9,1,0,3,15
33437,2013/11/27 02:24:45 PM,-33.93883,18.86011,109,238,9,1,0,0,15
33438,2013/11/27 02:24:46 PM,-33.93883,18.86008,109,260,9,1,0,4,16
33439,2013/11/27 02:24:57 PM,-33.93894,18.85961,110,228,9,2.2,0,0,20
33440,2013/11/27 02:24:58 PM,-33.939,18.85958,110,206,9,1,0,5,20
33441,2013/11/27 02:25:05 PM,-33.93939,18.8595,110,184,9,1,0,0,30
33442,2013/11/27 02:25:33 PM,-33.94164,18.86003,106,162,9,1,1,4,12
33443,2013/11/27 02:26:17 PM,-33.94564,18.86192,107,194,10,1,0,6,22
33444,2013/11/27 02:26:18 PM,-33.94567,18.86189,107,222,10,1,0,5,22
33445,2013/11/27 02:26:21 PM,-33.94575,18.86175,107,246,8,1.6,1,7,29
32883,2013/11/27 02:26:27 PM,-33.946,18.86103,106,244,9,1,1,26,50
33446,2013/11/27 02:26:37 PM,-33.94633,18.86017,105,208,9,1,1,6,14
33447,2013/11/27 02:26:39 PM,-33.94642,18.86017,106,170,9,1,1,4,17
33448,2013/11/27 02:26:43 PM,-33.94664,18.86019,106,210,10,1,0,0,23
33449,2013/11/27 02:26:44 PM,-33.94669,18.86014,106,236,9,1.1,0,6,25
33450,2013/11/27 02:27:23 PM,-33.94844,18.85436,99,198,10,1,0,8,32
33451,2013/11/27 02:27:25 PM,-33.94853,18.85436,99,174,10,1,1,16,31
33452,2013/11/27 02:28:15 PM,-33.95575,18.85553,116,196,10,1,1,40,76
33453,2013/11/27 02:28:59 PM,-33.96319,18.8505,137,218,10,1,0,0,72
33454,2013/11/27 02:29:33 PM,-33.96778,18.84494,110,196,9,1.1,0,18,67
33455,2013/11/27 02:31:20 PM,-33.97533,18.84194,110,0,10,1,0,0,0
33456,2013/11/27 02:32:00 PM,-33.97533,18.84194,110,214,10,1,1,1,4
33457,2013/11/27 02:32:03 PM,-33.97542,18.84192,110,192,10,1,0,2,11
33458,2013/11/27 02:32:06 PM,-33.97544,18.84192,110,162,10,1,1,3,11
33459,2013/11/27 02:32:08 PM,-33.9755,18.84192,111,192,10,1,1,1,7
33460,2013/11/27 02:32:14 PM,-33.97553,18.84192,111,354,10,1,0,0,2
33461,2013/11/27 02:32:16 PM,-33.9755,18.84192,111,18,10,1,0,0,3
33462,2013/11/27 02:32:46 PM,-33.9755,18.84192,113,0,10,1,1,0,0
33463,2013/11/27 02:45:45 PM,-33.9755,18.84189,111,200,10,1,0,1,10
33464,2013/11/27 02:46:33 PM,-33.97992,18.83967,126,274,10,1,0,0,11
33465,2013/11/27 02:46:41 PM,-33.97992,18.83961,127,300,10,1,0,0,2
33466,2013/11/27 02:46:43 PM,-33.97989,18.83961,127,330,10,1,0,0,6
33467,2013/11/27 02:46:44 PM,-33.97986,18.83961,127,354,10,1,0,1,10
33468,2013/11/27 02:46:47 PM,-33.97978,18.83964,126,24,9,1.2,1,8,16
33469,2013/11/27 02:48:12 PM,-33.96567,18.84625,121,48,9,1.2,0,0,79
33470,2013/11/27 02:49:38 PM,-33.95742,18.85433,116,26,9,1.2,0,0,66
33471,2013/11/27 02:49:57 PM,-33.95436,18.85567,114,4,8,1.3,0,0,64
33472,2013/11/27 02:50:14 PM,-33.95183,18.85542,111,342,9,1.2,1,17,63
33416,2013/11/27 02:50:36 PM,-33.94894,18.85428,97,342,9,1.2,0,13,51
33473,2013/11/27 02:52:53 PM,-33.94042,18.85192,98,16,9,1.2,0,5,21
33474,2013/11/27 02:52:54 PM,-33.94036,18.85194,98,38,9,1.2,0,5,22
33475,2013/11/27 02:52:57 PM,-33.94028,18.85208,98,74,8,1.6,1,7,28
33476,2013/11/27 02:53:10 PM,-33.94,18.85356,99,36,8,1.9,0,6,25
33477,2013/11/27 02:53:11 PM,-33.93994,18.85358,99,6,8,1.3,0,6,24
33478,2013/11/27 02:53:43 PM,-33.93678,18.85297,97,336,9,1.2,1,5,22
33479,2013/11/27 02:53:45 PM,-33.93669,18.85292,96,298,9,1.2,1,4,18
33480,2013/11/27 02:53:46 PM,-33.93669,18.85281,97,274,9,1.2,0,0,16
33481,2013/11/27 02:53:48 PM,-33.93667,18.85272,97,310,9,1.2,0,0,13
33482,2013/11/27 02:53:51 PM,-33.93661,18.85269,97,336,9,1.2,1,3,7
33483,2013/11/27 02:53:54 PM,-33.93656,18.85269,97,8,8,1.6,1,3,10
33484,2013/11/27 02:53:55 PM,-33.9365,18.85275,97,36,8,1.6,0,0,19
33485,2013/11/27 02:53:59 PM,-33.93633,18.85281,97,354,8,1.6,0,6,25
33486,2013/11/27 02:54:31 PM,-33.93381,18.85275,95,22,9,1.1,1,6,23
33487,2013/11/27 02:54:51 PM,-33.93289,18.85333,97,60,10,1,1,4,17
33488,2013/11/27 02:54:53 PM,-33.93289,18.85342,97,88,10,1,1,6,21
33489,2013/11/27 02:55:21 PM,-33.93244,18.85764,104,112,10,1,1,5,26
33490,2013/11/27 02:55:22 PM,-33.93253,18.85769,104,156,10,1,0,0,17
33491,2013/11/27 02:55:27 PM,-33.93269,18.85783,105,118,10,1,0,5,17
33492,2013/11/27 02:55:32 PM,-33.93272,18.85803,105,94,10,1,1,3,15
33497,2013/11/27 02:55:39 PM,-33.93278,18.85817,106,0,9,1.1,0,0,0
33493,2013/11/27 02:56:16 PM,-33.93275,18.85819,107,130,9,1.1,1,1,4
33494,2013/11/27 02:56:18 PM,-33.93275,18.85822,107,152,9,1.1,1,1,5
33495,2013/11/27 02:57:36 PM,-33.93283,18.85822,102,0,8,1.4,1,0,0
33417,2013/11/27 02:57:41 PM,-33.93286,18.85817,100,0,9,1.9,0,0,0
33895,2013/11/27 03:09:26 PM,-33.93289,18.85819,87,170,8,1.2,0,1,6
33896,2013/11/27 03:09:28 PM,-33.93292,18.85819,87,0,8,1.2,1,4,3
33897,2013/11/27 03:09:29 PM,-33.93292,18.85819,86,160,8,1.7,1,2,9
33898,2013/11/27 03:11:30 PM,-33.933,18.85822,77,0,8,1.8,0,0,0
33899,2013/11/27 03:13:22 PM,-33.93303,18.85828,80,166,9,1.2,1,1,2
33580,2013/11/27 03:14:19 PM,-33.93308,18.85842,78,0,8,1.8,0,0,0
33900,2013/11/27 03:16:22 PM,-33.93319,18.85839,96,0,8,1.1,0,0,0
33901,2013/11/27 03:18:26 PM,-33.93317,18.85839,94,160,8,1.8,0,0,2
33902,2013/11/27 03:18:27 PM,-33.93317,18.85839,94,156,8,2.7,0,0,5
33903,2013/11/27 03:18:31 PM,-33.93319,18.85842,94,180,8,1.8,1,2,7
33904,2013/11/27 03:18:35 PM,-33.93319,18.85839,94,30,9,1.8,0,0,2
33905,2013/11/27 03:18:36 PM,-33.93319,18.85839,95,354,9,1.1,0,0,4
33906,2013/11/27 03:18:42 PM,-33.93317,18.85836,96,264,8,1.8,0,0,2
33907,2013/11/27 03:18:44 PM,-33.93317,18.85836,96,292,9,1.8,0,0,5
