GPSID,Time,Latitude,Longitude,Altitude,Heading,Satellites,HDOP,AgeOfReading,DistanceSinceReading,Velocity
32144,2013/11/27 09:24:45 AM,-33.9795,18.84147,140,0,8,0.9,1,0,0
32147,2013/11/27 09:31:20 AM,-33.97939,18.84142,138,0,8,0.8,0,0,0
32146,2013/11/27 09:34:07 AM,-33.97942,18.84147,148,0,8,0.9,0,0,0
32148,2013/11/27 11:36:29 AM,-33.97933,18.84153,149,0,7,1,0,0,0
32201,2013/11/27 11:37:31 AM,-33.97939,18.84147,148,0,7,0.9,0,0,0
32204,2013/11/27 11:43:06 AM,-33.97931,18.84142,139,0,7,1,1,0,0
32325,2013/11/27 11:43:11 AM,-33.97925,18.84144,139,328,7,1,0,1,7
32326,2013/11/27 11:43:14 AM,-33.97925,18.84142,138,302,7,1,1,0,6
32327,2013/11/27 11:43:19 AM,-33.97919,18.84136,138,328,7,1.3,0,1,6
32328,2013/11/27 11:43:21 AM,-33.97914,18.84133,137,8,6,1.5,1,2,10
32329,2013/11/27 11:43:22 AM,-33.97911,18.84136,137,30,7,1.3,1,3,12
32330,2013/11/27 11:43:27 AM,-33.979,18.84144,134,350,6,1.1,1,2,9
32331,2013/11/27 11:43:28 AM,-33.97894,18.84142,133,324,6,1.1,0,0,11
32332,2013/11/27 11:43:29 AM,-33.97894,18.84136,133,300,7,1,0,0,11
32333,2013/11/27 11:44:47 AM,-33.97867,18.84089,132,324,7,1,1,0,7
32334,2013/11/27 11:44:51 AM,-33.97858,18.84086,131,348,6,1.1,1,3,10
32335,2013/11/27 11:44:55 AM,-33.97847,18.84086,130,10,7,1,1,3,13
32336,2013/11/27 11:44:58 AM,-33.97839,18.84092,130,34,7,1,1,4,14
32337,2013/11/27 11:45:07 AM,-33.97803,18.84114,128,12,6,1.1,0,0,16
32338,2013/11/27 11:45:31 AM,-33.97711,18.84144,125,38,7,1,0,3,13
32339,2013/11/27 11:45:50 AM,-33.97667,18.84208,123,60,7,1,1,4,15
32340,2013/11/27 11:46:06 AM,-33.97633,18.84275,121,36,7,1,0,0,14
32341,2013/11/27 11:46:28 AM,-33.97569,18.84325,118,4,7,1,1,1,7
32342,2013/11/27 11:46:32 AM,-33.97561,18.84319,118,330,7,1,0,1,10
32343,2013/11/27 11:46:34 AM,-33.97558,18.84317,117,302,7,1,0,0,13
32344,2013/11/27 11:46:53 AM,-33.97492,18.84194,112,328,7,1,0,7,27
32345,2013/11/27 11:46:56 AM,-33.97478,18.84192,111,358,7,1,0,7,27
32346,2013/11/27 11:48:17 AM,-33.96861,18.84428,113,24,7,1,1,0,6
32208,2013/11/27 11:48:38 AM,-33.96719,18.84492,119,22,6,1.3,1,22,42
32347,2013/11/27 11:48:53 AM,-33.96575,18.84614,128,46,7,1,0,13,50
32348,2013/11/27 11:50:11 AM,-33.95631,18.85503,122,24,7,1,0,0,66
32349,2013/11/27 11:50:25 AM,-33.95394,18.85569,121,2,7,1,0,18,70
32350,2013/11/27 11:50:41 AM,-33.95136,18.85519,117,340,6,1.1,1,19,71
32351,2013/11/27 11:53:41 AM,-33.94122,18.85194,103,0,9,0.7,1,0,0
32212,2013/11/27 11:53:58 AM,-33.94075,18.85192,101,356,9,0.7,1,4,20
32352,2013/11/27 11:55:43 AM,-33.94033,18.85192,105,26,9,0.7,0,4,17
32353,2013/11/27 11:55:44 AM,-33.94028,18.85194,105,48,9,0.7,0,0,20
32354,2013/11/27 11:55:46 AM,-33.94025,18.85208,105,74,9,0.7,0,6,24
32355,2013/11/27 11:56:10 AM,-33.93978,18.85461,107,46,9,0.7,0,7,25
